Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Start Year,Start Month,Start Day,End Year,End Month,End Day,"Total Damage, Adjusted ('000 US$)",Total Deaths,Total Affected
Climatological,Drought,Drought,Thailand,2014,3,,2014,3.0,,,,
Hydrological,Flood,Riverine flood,Malaysia,2014,12,16.0,2014,12.0,30.0,376316.0,17.0,230000.0
Meteorological,Storm,Tropical cyclone,Philippines,2014,12,28.0,2014,12.0,31.0,23438.0,72.0,578549.0
Meteorological,Storm,Tropical cyclone,Philippines,2015,5,11.0,2015,5.0,11.0,461.0,2.0,523.0
Meteorological,Storm,Tropical cyclone,Philippines,2015,7,12.0,2015,7.0,12.0,1985230.0,5.0,14100.0
Hydrological,Flood,Riverine flood,Myanmar,2015,6,23.0,2015,6.0,30.0,,7.0,14000.0
Hydrological,Flood,Flood (General),Philippines,2015,7,12.0,2015,7.0,21.0,,4.0,3000.0
Meteorological,Storm,Tropical cyclone,Philippines,2015,8,5.0,2015,8.0,5.0,,,3843.0
Climatological,Wildfire,Forest fire,Indonesia,2015,9,,2015,12.0,,1323487.0,19.0,409664.0
Meteorological,Storm,Tropical cyclone,Philippines,2015,10,14.0,2015,10.0,20.0,279236.0,51.0,2898590.0
Hydrological,Flood,Flash flood,Myanmar,2015,10,8.0,2015,10.0,8.0,,16.0,
Meteorological,Storm,Tropical cyclone,Philippines,2015,12,14.0,2015,12.0,15.0,178958.0,46.0,287251.0
Meteorological,Storm,Tropical cyclone,Vietnam,2015,9,14.0,2015,9.0,14.0,289.0,11.0,
Meteorological,Extreme temperature,Cold wave,Thailand,2016,1,20.0,2016,1.0,26.0,,14.0,
Hydrological,Flood,Flood (General),Indonesia,2016,3,7.0,2016,3.0,8.0,,6.0,12500.0
Hydrological,Landslide,Landslide (wet),Indonesia,2016,5,15.0,2016,5.0,15.0,,15.0,
Meteorological,Storm,Lightning/Thunderstorms,Myanmar,2016,4,29.0,2016,5.0,3.0,3398.0,18.0,87944.0
Hydrological,Landslide,Landslide (wet),Indonesia,2016,6,17.0,2016,6.0,21.0,32675.0,62.0,
Meteorological,Storm,Tropical cyclone,Philippines,2016,9,16.0,2016,9.0,16.0,6421.0,,16648.0
Meteorological,Storm,Tropical cyclone,Vietnam,2016,10,13.0,2016,10.0,15.0,457449.0,34.0,610000.0
Meteorological,Storm,Tropical cyclone,Philippines,2016,10,19.0,2016,10.0,21.0,66252.0,8.0,981154.0
Meteorological,Storm,Tropical cyclone,Philippines,2018,9,16.0,2018,9.0,16.0,40016.0,84.0,3800138.0
Meteorological,Storm,Storm (General),Vietnam,2016,8,2.0,2016,8.0,2.0,188208.0,25.0,182500.0
